Niche,Product Name,ASIN,Brand,Launch Date,Niche Click Count (Past 360 days),Click Share (Past 360 days),Average Selling Price (Past 360 days) (USD),Total Ratings,Average Customer Rating,Average BSR,Average # of Sellers and Vendors (Past 360 days)
shower steamers,TUWESEN Shower Steamers Aromatherapy SPA Kit 8 PCS Shower Steamers for Women Shower Bombs with Essential Oils-Self Care & Relaxation Birthday Gifts for Women and Men. Purple Romantic Set,B0CB5GX9LR,TUWESEN,2023-07-05,104047,0.0603,8.4,1210,4.4,13,7
shower steamers,Cleverfy Shower Steamers Aromatherapy - Variety Pack of 6 Shower Bombs with Essential Oils. Personal Care and Relaxation Birthday Gifts for Women and Men. Purple Set,B07L5QGF38,CLEVERFY,2019-05-08,120262,0.0697,16.17,37017,4.3,2,4
shower steamers,Shower Steamers Aromatherapy - 18 Pack Shower Bombs Birthday Gifts for Women Gifts for Mom Organic with Eucalyptus Mint Lavender Watermelon Grapefruit Essential Oils Stress Relief Mothers Day Gifts,B0BFHXRG1F,JoJowell,2022-10-27,115204,0.0668,22.04,1697,4.3,5,5
shower steamers,BodyRefresh Shower Steamers - 18 Pack Shower Bombs with Essential Oils Personal Self Care Birthday Gifts for Women Men Mom Gifts for Her Mothers Day Gifts Set for Mom from Daughter,B0CF561CZG,BodyRefresh,2023-09-20,64424,0.0373,15.76,724,4.3,17,3
shower steamers,Fizzgarden 18-Pack Shower Steamers-Shower Bath Bombs with Individually Wrapped-Variety Shower Tablets-Mothers Day Gifts/Birthday Gifts for Women Men Who Have Everything,B0BYCK9MKW,Fizzgarden,2023-04-29,71554,0.0415,13,635,4.2,20,3
shower steamers,Body Restore Shower Steamers Aromatherapy 15 Pack - Valentines Day Gifts Relaxation Birthday Gifts for Women and Men Stress Relief and Luxury Self Care Eucalyptus,B08BC88KG1,Body Restore,2020-02-20,129416,0.0751,24.8,20642,4.3,3,4
shower steamers,BodyRefresh Shower Steamers Aromatherapy - 8 Pack Shower Bombs with Essential Oils. Self Care Birthday Gifts for Women Gifts for Her Mothers Day Gifts for Wife Mom from Daughter,B0CF58LSJN,BodyRefresh,2023-09-19,39535,0.0229,8.59,834,4.2,3,3
shower steamers,Body Restore Shower Steamers Aromatherapy 15 Packs - Valentines Day Gifts Relaxation Birthday Gifts for Women and Men Stress Relief and Effortless Self Care Lavender Bath Bombs,B08FDCLXNP,Body Restore,2020-08-07,51946,0.0301,25.06,12872,4.4,2,4
shower steamers,Aromatherapy Shower Steamers Birthday Gifts for Women - Swcandy 8 Pcs Bath Bombs Mothers Day Gifts for Mom Shower Bombs Self Care with Essential Oils Relaxation Home SPA Lavender,B0B76DDS36,SWCANDY,2022-09-18,99730,0.0578,9.99,3266,4.4,22,8
shower steamers,Shower Steamers Aromatherapy Birthday Gifts for Women - SWCANDY 8 Pcs Bath Bombs Gifts for Women Shower Bombs Self Care Gifts for Mom with Essential Oils Relaxation Home SPA,B0CLDN4BRM,SWCANDY,2023-10-19,31514,0.0182,7.54,3266,4.4,7,7
shower steamers,Cleverfy Shower Steamers Aromatherapy - 18 Pack of Shower Bombs with Essential Oils. Self Care and Relaxation Birthday Gifts for Women and Men. Purple Set,B09VTHB39V,CLEVERFY,2022-03-17,39243,0.0227,24.74,37017,4.3,2,3
shower steamers,Shower Steamers Aromatherapy - 24 Pack Shower Bombs with Essential Oils Self Care Birthday Gifts for Women Mom Stress Relief Gifts for Her Mom Gifts for Mothers Day Gifts for Wife Mom from Daughter,B0CFXTP5PF,CALM2U,2023-08-17,22816,0.0132,20.95,188,4.3,69,2
shower steamers,Shower Steamers Aromatherapy - USA Made with Natural Ingredients Shower Bombs with Eucalyptus Essential Oil Shower Steamers for Cold and Flu Relaxation & Self Care Gifts for Women & Men,B0CC3HGBGD,Beauty by Earth,2023-08-21,32889,0.019,19.54,1130,4.5,7,2
shower steamers,PeaceNBliss 30 Pack Shower Steamers Shower Bath Bombs with Natural Fragrance - Mothers Day Gifts Self-Care Gifts for Women and Men Relaxation Birthday Gifts,B0CGH9QFDZ,PeaceNBliss,2023-10-17,33255,0.0192,20.79,196,4.2,56,4
shower steamers,Shower Steamers Aromatherapy-Eucalyptus Shower Bombs Gifts for Women Christmas Gift 12pcs Organic Pure Essential Oil Home Spa Bath Stress Relief and Relaxation Present for Stocking Stuffers for Her,B0BXNLLK9G,BYART,2023-03-07,27002,0.0156,14.38,593,4.5,25,5
shower steamers,Vicks VapoShower Plus Shower Steamers Eucalyptus Shower Steamer & Menthol Scent Clean Dissolving Vapor Shower Tablets Aromatherapy Shower Steamer & Shower Bombs 12 count,B08QTZBK5Y,Vicks,2020-12-17,34817,0.0202,20.87,17695,4.5,2,40
shower steamers,Shower Steamers Aromatherapy - Valentines Day Gifts for women 8 Pack Pure Essential Oil Shower Bombs for Home Spa Bath Self Care Stress Relief and Relaxation Bath Gifts for Her Birthday Present Pink,B0CGTZFHQW,BYART,2023-08-29,24745,0.0143,13.97,605,4.5,13,3
shower steamers,Cleverfy Shower Steamers Aromatherapy - Variety Pack of 6 Shower Bombs with Essential Oils.Self Care and Relaxation Spa Gifts for Women. Red Set,B07P8395DZ,CLEVERFY,2019-05-01,20906,0.0121,14.83,16233,4.3,5,4
shower steamers,PeaceNBliss Shower Steamers 6 Pack Bath Bombs Shower Tablets for Halloween Christmas Birthday Gifts for Men and Women Who Have Everything(6 Scents),B0CD3FRM99,PeaceNBliss,2023-09-24,30992,0.0179,8.97,166,4.2,56,2
shower steamers,Body Restore Shower Steamers Aromatherapy 6 Packs - Valentines Day Gifts Relaxation Birthday Gifts for Women and Men Stress Relief and Effortless Self Care Bloom Variety Scent Shower Bath Bombs,B0BJYCRS51,Body Restore,2023-01-21,50237,0.0291,16.51,12872,4.4,2,3
shower steamers,Oziva Aromatherapy Shower Steamers-Easter Basket Stuffers for Adults Shower Bombs - Self Care and Relaxation Stress Relief Easter Basket Stuffers,B096VVY2D1,Oziva,2021-06-09,21332,0.0123,10.02,2153,4.09,20,4
shower steamers,Shower Steamers Aromatherapy Spa Gifts for Women 8 PCS BLRIET Shower Bombs Birthday Gift for Mom with Lavender Natural Essential Oils Self Care & Relaxation Gifts for Lover,B0CHMDT2FM,BLRIET,2023-07-31,23662,0.0137,10.16,822,4.59,31,3
shower steamers,Cleverfy Shower Steamers with Essential Oils 6-Pack Blue Set,B0C4YF33DK,CLEVERFY,2023-05-11,10947,0.0063,13.91,16233,4.3,5,1
shower steamers,Body Restore Shower Steamers Aromatherapy 6 Pack - Stress Relief and Luxury Self Care Relaxation Birthday Gifts for Women and Men Valentines Day Gifts - Eucalyptus,B0BXBB1LVC,Body Restore,2023-03-04,29463,0.017,14.78,1130,4.3,13,4
shower steamers,TranquilBliss Shower Steamers 18 PCS Gifts Set Self Care Relaxation Shower Tablets with Shea Butter 6 Fragrance Shower Bombs Valentines Day Gift Ideas for Women Men Mother Wife,B0CJ2S82KC,TranquilBliss,2023-11-08,13429,0.0077,15.31,99,4.2,47,1
shower steamers,TranquilBliss Shower Steamers-15 Pack Shower Bombs with Lavender Scent Self-Care Gifts for Women Who Have Everything Relaxation Birthday Gifts for Women Valentines Day Gifts for Her,B0CJ2JGGN9,TranquilBliss,2023-11-03,11660,0.0067,11.55,112,4.3,49,2
shower steamers,18 Pack Shower Steamers - Mothers Day Birthday Gifts - Shower Bombs with Lavender Mint Rose Coco Ocean Grapefruit Natural Fragrance Self Care & Relaxation Gifts for Women and Men,B0BY8T5JDH,DeckTheHalls,2023-04-15,74758,0.0433,11.66,851,4.2,25,2
shower steamers,TranquilBliss Shower Steamers Shower Bombs with Natural Fragrance Self Care& Relaxation Christmas Birthday Gifts for Women and Mom Stocking Stuffers Individually Packaged Purple Set 6Pack,B0CJ2LMM3X,TranquilBliss,2023-11-01,11985,0.0069,9.99,83,4.4,51,1
shower steamers,Cleverfy Shower Steamers Aromatherapy - Compact Variety Pack of 6 Shower Bombs with Essential Oils. Self Care and Relaxation Birthday Gifts for Women and Men. Red Set,B0BW12BDDL,CLEVERFY,2023-02-16,10257,0.0059,10.39,16233,4.3,484,2
shower steamers,MR MIRYE Shower Steamers Aromatherapy for Women or Men Organic with Chamomile Rose Lavender Mint Watermelon Eucalyptus Essential Oil 18-Pack Shower Bombs Birthday Gift,B0B1TCPGRV,MR MIRYE,2022-05-20,24586,0.0142,18.11,1135,4.3,28,3
shower steamers,Shower Steamers (8 Pack) - Eucalyptus Shower Steamers Aromatherapy Shower Steamer - Eucalyptus Shower Bombs Aromatherapy Shower Tablets Eucalyptus Shower Steamer Shower Steamers Menthol,B0B6CJFS4Z,Orca Beauty,2022-07-12,36119,0.0209,13.06,1852,4.3,18,4
