Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
1,1476620,3596925,915385,3596925,0,0,0,0,0,0,0
2,2012113,3381324,1193019,3381324,0,0,0,0,0,0,0
3,5243194,3863142,2983080,3863142,0,0,0,0,0,0,0
4,4843020,3779178,2814362,3779178,0,0,0,0,0,0,0
5,4536305,3924650,2649176,3924650,0,0,0,0,0,0,0
6,4437897,3872143,2653828,3872143,0,0,0,0,0,0,0
7,3656863,3908714,2343998,3908714,0,0,0,0,0,0,0
8,3489754,3984653,2166155,3984653,0,0,0,0,0,0,0
9,3078902,3839403,1965957,3839403,0,0,0,0,0,0,0
10,3711537,3870108,2266314,3870108,0,0,0,0,0,0,0
11,2767642,3666086,1679729,3666086,0,0,0,0,0,0,0
12,2046363,3690597,1589010,3690597,0,0,0,0,0,0,0
