ParkName,RecreationVisits
Belmont-Paul Women's Equality NM,7704
Carter G. Woodson Home NHS,30
Dwight D. Eisenhower MEM,731476
Ford's Theatre NHS,457132
Franklin Delano Roosevelt MEM,3225923
Frederick Douglass NHS,25836
Korean War Veterans MEM,4344305
LBJ Memorial Grove on the Potomac,241358
Lincoln MEM,8479349
"Martin Luther King, Jr. MEM",3251594
Mary McLeod Bethune Council House NHS,3338
National Capital Parks Central,1034341
National Capital Parks East,1271126
Pennsylvania Avenue NHS,141840
President's Park,915636
Rock Creek Park,1917170
Thomas Jefferson MEM,2915319
Vietnam Veterans MEM,5295711
Washington Monument,247208
White House,517030
William Howard Taft NHS,31118
World War I MEM,1084897
World War II MEM,5160769
