Date,Year,Post ID,Platform,Post Type,Content Type,Link,Post,Engagement Rate,Engagements,Reactions,Comments,Shares
2017-08-01,2017,1.78691E+16,Instagram,Post,Video,https://www.instagram.com/p/BXQf-6igoGJ/,"For GRAMMY-winning band @korn_official, inspiring the next generation of #music creators means legacy. 🙌",31.83,1337.0,1320.0,8.0,
2017-08-02,2017,1.7867E+16,Instagram,Post,Carousel,https://www.instagram.com/p/BXTEDUWgKkq/,"Music enthusiasts, we're looking for you! 🎶 Every Wednesday we will be celebrating your music collections and we want to hear from you. 
1️⃣. Snap a photo with your favorite album.
2️⃣. Share what it means to you in the caption. 
3️⃣. Tag with #InMyCollection and you could be featured!
Swipe ↔️ to see more photos!",59.2,3552.0,3455.0,30.0,
2017-08-03,2017,8.93237E+17,Twitter,Tweet,Video,https://twitter.com/RecordingAcad/status/893237457352892416,Who doesn't need some extra 💰 for #school? @rihanna and other GRAMMY winners are giving back through scholarships: https://t.co/3uiIP8wUpQ https://t.co/O1fYHBKCl4,,1870.0,161.0,49.0,48.0
2017-08-03,2017,1.78869E+16,Instagram,Post,Video,https://www.instagram.com/p/BXVly5vgHgC/,"""The greatest moment in my whole musical career and the greatest moment of my life."" - @ItsTonyBennett accepts the GRAMMY for Album Of The Year for 'MTV Unplugged' album at the 37th #GRAMMYs in 1995.

At the 5th #GRAMMYs in 1962, he earned his first career GRAMMY for Record Of The Year for the song ""I Left My Heart In San Francisco"" #GRAMMYVault",49.69,3180.0,3039.0,31.0,
2017-08-03,2017,36736245747_10154934749440748,Facebook,Post,Video,https://www.facebook.com/RecordingAcademy/videos/10154934749440748/,"""The greatest moment in my whole musical career and the greatest moment of my life."" - Tony Bennett accepts the GRAMMY for Album Of The Year for 'MTV Unplugged' at the 37th #GRAMMYs in 1995.

At the 5th GRAMMY Awards in 1962, he earned his first career GRAMMY for Record Of The Year for the song ""I Left My Heart In San Francisco."" #GRAMMYVault",0.0361,1352.0,535.0,26.0,73.0
2017-08-04,2017,1.78924E+16,Instagram,Post,Photo,https://www.instagram.com/p/BXZLwb1gmzG/,"There's more to the music you hear. 🎶
GRAMMY nominees Rico Love (@iamricolove) and David Banner (@davidbannerlikespictures) gave members of the Recording Academy's Florida Chapter insight into the many sacrifices they both made in order to succeed. They highlighted the importance of supporting each other within the #music community in order to help it grow, and stressed the importance of artists getting involved in all aspects of the music business.

Check out our Instagram Story 👀 to see more photos from the event.",48.26,1641.0,1628.0,8.0,
2017-08-05,2017,8.93899E+17,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/893899162483216384,"Inspired by the current events in the world, @fosterthepeople's new 💽 'Sacred Hearts Club' sends the message of joy… https://t.co/nPiyWVLS6E",,2928.0,470.0,4.0,159.0
2017-08-06,2017,1.78874E+16,Instagram,Post,Video,https://www.instagram.com/p/BXd7e1vAi8a/,"What has inspired Bishop Briggs (@thatgirlbishop) music? 
Watch ⬆️⬆️⬆️",83.37,1584.0,1562.0,6.0,
2017-08-06,2017,1.78838E+16,Instagram,Post,Video,https://www.instagram.com/p/BXeg0DLgUAg/,"When two #GRAMMYs winners collaborate, music magic happens. 
@Kaskade reveals the story behind his remix of @ImagineDragons' ""Believer."" Click the link in our bio ⬆️⬆️⬆️ to hear his take on the current state of dance music and other topics!",91.93,1379.0,1362.0,3.0,
2017-08-07,2017,1.78775E+16,Instagram,Post,Carousel,https://www.instagram.com/p/BXgQL6qAEr1/,"""Sometimes you need just that song to get through the day."" - In a recent conversation with the Recording Academy's Nashville Chapter, GRAMMY winners @anthonyhamiltonofficial and @jermainedupri discussed everything from early beginnings to songwriting. 
Click the link in our bio ⬆️⬆️⬆️ to watch these two GRAMMY winners get candid about the creative process.",80.45,1609.0,1591.0,6.0,
