District Name,Date,Number of accidents,Mild injuries,Serious injuries,Victims,Vehicles involved
Ciutat Vella,2017-01-01 00:00:00,1,1,0,1,1
Ciutat Vella,2017-01-02 00:00:00,1,1,0,1,4
Ciutat Vella,2017-01-03 00:00:00,1,1,0,1,1
Ciutat Vella,2017-01-04 00:00:00,1,0,0,0,1
Ciutat Vella,2017-01-06 00:00:00,1,1,0,1,2
Ciutat Vella,2017-01-07 00:00:00,1,1,0,1,2
Ciutat Vella,2017-01-09 00:00:00,1,0,0,0,1
Ciutat Vella,2017-01-10 00:00:00,3,4,0,4,6
Ciutat Vella,2017-01-12 00:00:00,1,0,0,0,1
Ciutat Vella,2017-01-13 00:00:00,4,4,0,4,8
Ciutat Vella,2017-01-14 00:00:00,2,3,0,3,3
Ciutat Vella,2017-01-15 00:00:00,1,0,0,0,1
Ciutat Vella,2017-01-16 00:00:00,2,2,0,2,4
Ciutat Vella,2017-01-17 00:00:00,3,3,0,3,4
Ciutat Vella,2017-01-19 00:00:00,1,1,0,1,2
Ciutat Vella,2017-01-21 00:00:00,1,1,0,1,2
Ciutat Vella,2017-01-22 00:00:00,1,0,0,0,1
Ciutat Vella,2017-01-23 00:00:00,3,1,0,1,3
Ciutat Vella,2017-01-25 00:00:00,1,1,0,1,2
Ciutat Vella,2017-01-26 00:00:00,1,2,0,2,2
Ciutat Vella,2017-01-27 00:00:00,2,2,0,2,3
Ciutat Vella,2017-01-28 00:00:00,1,1,0,1,2
Ciutat Vella,2017-01-29 00:00:00,3,3,0,3,5
Ciutat Vella,2017-01-30 00:00:00,1,1,0,1,1
Ciutat Vella,2017-01-31 00:00:00,1,0,0,0,2
Ciutat Vella,2017-02-01 00:00:00,4,4,0,4,8
Ciutat Vella,2017-02-02 00:00:00,1,1,0,1,2
Ciutat Vella,2017-02-03 00:00:00,1,1,0,1,1
Ciutat Vella,2017-02-05 00:00:00,4,3,0,3,7
Ciutat Vella,2017-02-06 00:00:00,1,0,0,0,1
Ciutat Vella,2017-02-07 00:00:00,2,2,0,2,4
Ciutat Vella,2017-02-08 00:00:00,2,2,0,2,7
Ciutat Vella,2017-02-09 00:00:00,1,1,0,1,2
Ciutat Vella,2017-02-10 00:00:00,3,3,0,3,7
