Id,District Name,Neighborhood Name,Street,Year,Month,Weekday,Part of the day
2017S000002    ,Eixample,el Fort Pienc,GV CORTS CATALANES                                ,2017,January,Sunday,Night
2017S000001    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,VIA AUGUSTA                                       ,2017,January,Sunday,Night
2017S000003    ,Horta-Guinardó,el Baix Guinardó,RDA GUINARDÓ                                      ,2017,January,Sunday,Morning
2017S000004    ,Eixample,la Sagrada Família,BALMES / Rosselló                                 ,2017,January,Sunday,Morning
2017S000005    ,Sant Martí,el Parc i la Llacuna del Poblenou,PALLARS                                           ,2017,January,Sunday,Morning
2017S000008    ,Eixample,la Dreta de l'Eixample,ARAGÓ / Pau Claris                                ,2017,January,Sunday,Morning
2017S000012    ,Eixample,el Fort Pienc,GV CORTS CATALANES / Castillejos                  ,2017,January,Sunday,Morning
2017S000006    ,Ciutat Vella,el Raval,TALLERS                                           ,2017,January,Sunday,Morning
2017S000021    ,Sant Martí,el Besòs i el Maresme,CRISTÓBAL DE MOURA / Maresme                      ,2017,January,Sunday,Morning
2017S000010    ,Sant Andreu,el Congrés i els Indians,FELIP II / Garcilaso                              ,2017,January,Sunday,Morning
2017S000007    ,Sants-Montjuïc,la Marina del Prat Vermell,ULLDECONA / Sovelles                              ,2017,January,Sunday,Morning
2017S000009    ,Sants-Montjuïc,Sants,TARRAGONA / Av Roma                               ,2017,January,Sunday,Afternoon
2017S000013    ,Eixample,la Dreta de l'Eixample,ARAGÓ / Pg Gràcia                                 ,2017,January,Sunday,Afternoon
2017S000011    ,Sant Martí,la Vila Olímpica del Poblenou,AV LITORAL                                        ,2017,January,Sunday,Afternoon
2017S000014    ,Sants-Montjuïc,Sants,AV ROMA / Tarragona                               ,2017,January,Sunday,Afternoon
2017S000016    ,Eixample,el Fort Pienc,MARINA                                            ,2017,January,Sunday,Afternoon
2017S000020    ,Nou Barris,la Guineueta,PG VALLDAURA / Pg Fabra i Puig                    ,2017,January,Sunday,Afternoon
2017S000015    ,Sant Martí,la Verneda i la Pau,CANTÀBRIA                                         ,2017,January,Sunday,Afternoon
2017S000018    ,Eixample,l'Antiga Esquerra de l'Eixample,MUNTANER                                          ,2017,January,Sunday,Afternoon
2017S000017    ,Sant Martí,Provençals del Poblenou,CTRA C-31                                         ,2017,January,Sunday,Afternoon
2017S000019    ,Sant Martí,el Poblenou,ESPRONCEDA                                        ,2017,January,Sunday,Afternoon
2017S000022    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,AV DIAGONAL                                       ,2017,January,Sunday,Night
2017S000024    ,Sants-Montjuïc,el Poble-sec,PL ESPANYA                                        ,2017,January,Monday,Morning
2017S000025    ,Les Corts,la Maternitat i Sant Ramon,AV DIAGONAL                                       ,2017,January,Monday,Morning
2017S000026    ,Sants-Montjuïc,Sants,AV MADRID                                         ,2017,January,Monday,Morning
2017S000027    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,SARDENYA / Trav Gràcia                            ,2017,January,Monday,Morning
2017S000028    ,Horta-Guinardó,la Font d'en Fargues,MAURICI VILOMARA / Montse Casanovas               ,2017,January,Monday,Morning
2017S000029    ,Sarrià-Sant Gervasi,el Putxet i el Farró,AV PRÍNC ASTÚRIES / Madrazo                       ,2017,January,Monday,Morning
2017S000030    ,Eixample,la Nova Esquerra de l'Eixample,VILADOMAT / Consell de Cent                       ,2017,January,Monday,Afternoon
2017S000031    ,Sants-Montjuïc,la Marina de Port,FOC / Urani                                       ,2017,January,Monday,Afternoon
2017S000033    ,Eixample,la Sagrada Família,ARAGÓ / Castillejos                               ,2017,January,Monday,Afternoon
2017S000032    ,Sants-Montjuïc,Hostafrancs,CREU COBERTA                                      ,2017,January,Monday,Afternoon
2017S000034    ,Nou Barris,la Trinitat Nova,CTRA B-20 (BESÒS)                                 ,2017,January,Monday,Afternoon
2017S000037    ,Gràcia,la Salut,PL SANLLEHY / Av M Déu Montserra                  ,2017,January,Monday,Afternoon
2017S000036    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,ARIBAU / Via Augusta                              ,2017,January,Monday,Afternoon
2017S000035    ,Ciutat Vella,el Barri Gòtic,RDA LITORAL(BESÒS)                                ,2017,January,Monday,Afternoon
2017S000038    ,Sant Martí,el Poblenou,RDA LITORAL(BESÒS)                                ,2017,January,Monday,Afternoon
2017S000040    ,Eixample,la Dreta de l'Eixample,BAILÈN / Rosselló                                 ,2017,January,Monday,Night
2017S000039    ,Horta-Guinardó,la Teixonera,SANTA ROSALIA / Besòs                             ,2017,January,Monday,Night
2017S000041    ,Eixample,el Fort Pienc,GV CORTS CATALANES                                ,2017,January,Monday,Night
2017S000042    ,Sant Martí,el Besòs i el Maresme,AV LITORAL                                        ,2017,January,Tuesday,Night
2017S000043    ,Sants-Montjuïc,el Poble-sec,PL DRASSANES / Pg Josep Carner                    ,2017,January,Tuesday,Night
2017S000217    ,Nou Barris,les Roquetes,LLOPIS / Torres                                   ,2017,January,Tuesday,Morning
2017S000045    ,Horta-Guinardó,Horta,PEDRELL                                           ,2017,January,Tuesday,Morning
2017S000044    ,Sarrià-Sant Gervasi,el Putxet i el Farró,RDA GENERAL MITRE / Ganduxer                      ,2017,January,Tuesday,Morning
2017S000046    ,Eixample,la Dreta de l'Eixample,ROGER DE LLÚRIA / Aragó                           ,2017,January,Tuesday,Morning
2017S000049    ,Sant Martí,el Camp de l'Arpa del Clot,ARAGÓ / Independència                             ,2017,January,Tuesday,Morning
2017S000048    ,Eixample,Sant Antoni,SEPÚLVEDA / Comte d'Urgell                        ,2017,January,Tuesday,Morning
2017S000047    ,Ciutat Vella,el Barri Gòtic,PG COLOM                                          ,2017,January,Tuesday,Morning
2017S000050    ,Nou Barris,les Roquetes,VIA FAVÈNCIA / Almansa                            ,2017,January,Tuesday,Morning
2017S000053    ,Eixample,la Nova Esquerra de l'Eixample,AV ROMA / Entença                                 ,2017,January,Tuesday,Morning
2017S000051    ,Eixample,l'Antiga Esquerra de l'Eixample,ARIBAU / Av Diagonal                              ,2017,January,Tuesday,Morning
2017S000052    ,Eixample,el Fort Pienc,ARAGÓ / Nàpols                                    ,2017,January,Tuesday,Morning
2017S000057    ,Sarrià-Sant Gervasi,Sarrià,CTRA SARRIÀ VALLVI                                ,2017,January,Tuesday,Morning
2017S000054    ,Eixample,la Dreta de l'Eixample,GIRONA                                            ,2017,January,Tuesday,Morning
2017S000061    ,Eixample,la Dreta de l'Eixample,ARAGÓ / Pg Sant Joan                              ,2017,January,Tuesday,Morning
2017S000055    ,Eixample,l'Antiga Esquerra de l'Eixample,ARIBAU                                            ,2017,January,Tuesday,Morning
2017S000063    ,Sant Martí,el Besòs i el Maresme,AV DIAGONAL / Josep Pla                           ,2017,January,Tuesday,Afternoon
2017S000059    ,Sarrià-Sant Gervasi,les Tres Torres,PG BONANOVA / Anglí                               ,2017,January,Tuesday,Afternoon
2017S000060    ,Horta-Guinardó,Montbau,ARQUITECTURA                                      ,2017,January,Tuesday,Afternoon
2017S000056    ,Eixample,la Sagrada Família,SICÍLIA / Mallorca                                ,2017,January,Tuesday,Afternoon
