game_id,game_date,season,team_home,team_away,pts_home,fg_pct_home,3p_pct_home,ft_pct_home,ast_home,reb_home,pts_away,fg_pct_away,3p_pct_away,ft_pct_away,ast_away,reb_away,home_team_win,conf_home,div_home,conf_away,div_away,conf_match
21800984,2019-03-08,2018-19,Golden State Warriors,Denver Nuggets,122,0.536,0.514,0.667,32,43,105,0.379,0.364,0.771,21,46,1,Western Conference,Pacific Division,Western Conference,Northwest Division,West at West
21801164,2019-04-02,2018-19,Golden State Warriors,Denver Nuggets,116,0.543,0.382,0.375,36,55,102,0.375,0.233,0.793,23,40,1,Western Conference,Pacific Division,Western Conference,Northwest Division,West at West
21800368,2018-12-07,2018-19,Charlotte Hornets,Denver Nuggets,113,0.384,0.371,0.895,20,48,107,0.386,0.229,0.808,24,55,1,Eastern Conference,Southeast Division,Western Conference,Northwest Division,West at East
21800260,2018-11-21,2018-19,Minnesota Timberwolves,Denver Nuggets,101,0.443,0.281,0.846,24,40,103,0.472,0.4,0.833,29,40,0,Western Conference,Northwest Division,Western Conference,Northwest Division,West at West
21800783,2019-02-02,2018-19,Minnesota Timberwolves,Denver Nuggets,106,0.472,0.324,0.688,27,41,107,0.472,0.394,0.714,29,48,0,Western Conference,Northwest Division,Western Conference,Northwest Division,West at West
21800715,2019-01-23,2018-19,Utah Jazz,Denver Nuggets,114,0.432,0.413,0.704,28,40,108,0.477,0.296,0.8,20,50,1,Western Conference,Northwest Division,Western Conference,Northwest Division,West at West
21801217,2019-04-09,2018-19,Utah Jazz,Denver Nuggets,118,0.526,0.37,0.765,24,48,108,0.466,0.48,0.636,24,31,1,Western Conference,Northwest Division,Western Conference,Northwest Division,West at West
21801052,2019-03-18,2018-19,Boston Celtics,Denver Nuggets,105,0.419,0.308,0.789,24,37,114,0.489,0.359,0.8,29,51,0,Eastern Conference,Atlantic Division,Western Conference,Northwest Division,West at East
11800010,2018-09-30,2018-19,Los Angeles Lakers,Denver Nuggets,107,0.46,0.32,0.731,26,37,124,0.46,0.351,0.886,25,50,0,Western Conference,Pacific Division,Western Conference,Northwest Division,West at West
11800020,2018-10-02,2018-19,Los Angeles Lakers,Denver Nuggets,111,0.512,0.345,0.789,28,38,113,0.476,0.353,0.636,29,40,0,Western Conference,Pacific Division,Western Conference,Northwest Division,West at West
21800066,2018-10-25,2018-19,Los Angeles Lakers,Denver Nuggets,121,0.5,0.345,0.826,27,42,114,0.5,0.261,0.8,22,44,1,Western Conference,Pacific Division,Western Conference,Northwest Division,West at West
21800974,2019-03-06,2018-19,Los Angeles Lakers,Denver Nuggets,99,0.476,0.226,0.522,26,41,115,0.459,0.31,0.706,33,55,0,Western Conference,Pacific Division,Western Conference,Northwest Division,West at West
21800380,2018-12-08,2018-19,Atlanta Hawks,Denver Nuggets,106,0.43,0.357,0.688,33,51,98,0.371,0.25,0.81,28,48,1,Eastern Conference,Southeast Division,Western Conference,Northwest Division,West at East
21800790,2019-02-04,2018-19,Detroit Pistons,Denver Nuggets,129,0.545,0.432,0.85,32,53,103,0.446,0.321,0.545,28,32,1,Eastern Conference,Central Division,Western Conference,Northwest Division,West at East
21800356,2018-12-05,2018-19,Orlando Magic,Denver Nuggets,118,0.474,0.408,1.0,30,40,124,0.549,0.579,0.622,34,43,0,Eastern Conference,Southeast Division,Western Conference,Northwest Division,West at East
21800158,2018-11-07,2018-19,Memphis Grizzlies,Denver Nuggets,89,0.429,0.381,0.84,19,36,87,0.39,0.25,0.789,19,41,1,Western Conference,Southwest Division,Western Conference,Northwest Division,West at West
