city,temp_max_F
"Miami, FL",83.0
"San Francisco, CA",76.0
"Miami, FL",91.0
"Los Angeles, CA",68.0
"Miami, FL",80.0
"Miami, FL",77.0
"Chicago, IL",44.0
"Washington, DC",76.0
"Kansas City, MO",64.0
"Dallas, TX",96.0
"Miami, FL",80.0
"Atlanta, GA",65.0
"Miami, FL",89.0
"Dallas, TX",53.0
"Miami, FL",85.0
"Chicago, IL",70.0
"New York City, NY",58.0
"Seattle, WA",58.0
"Chicago, IL",51.0
"Chicago, IL",68.0
"Washington, DC",88.0
"Seattle, WA",55.0
"Dallas, TX",96.0
"Atlanta, GA",78.0
"Los Angeles, CA",65.0
"Los Angeles, CA",62.0
"Seattle, WA",32.0
"New York City, NY",57.0
"Kansas City, MO",41.0
"Washington, DC",84.0
"Atlanta, GA",45.0
"Chicago, IL",35.0
"Atlanta, GA",91.0
"Seattle, WA",62.0
"New York City, NY",79.0
"Miami, FL",89.0
"Kansas City, MO",80.0
"Seattle, WA",58.0
"Denver, CO",45.0
"Dallas, TX",40.0
"Chicago, IL",69.0
"Denver, CO",59.0
"San Francisco, CA",65.0
"Seattle, WA",48.0
"Seattle, WA",92.0
"Chicago, IL",55.0
"Miami, FL",91.0
"Chicago, IL",71.0
"San Francisco, CA",57.0
"New York City, NY",81.0
"Kansas City, MO",95.0
"Dallas, TX",82.0
"New York City, NY",57.0
"Los Angeles, CA",67.0
"Atlanta, GA",52.0
"San Francisco, CA",58.0
"Atlanta, GA",68.0
"Kansas City, MO",34.0
"Kansas City, MO",52.0
"New York City, NY",31.0
"Atlanta, GA",79.0
"San Francisco, CA",72.0
"Denver, CO",61.0
"Miami, FL",87.0
"San Francisco, CA",68.0
"Washington, DC",60.0
"Miami, FL",76.0
"Dallas, TX",102.0
"Chicago, IL",65.0
"Los Angeles, CA",64.0
"Atlanta, GA",70.0
"New York City, NY",49.0
"Denver, CO",87.0
"Washington, DC",86.0
"San Francisco, CA",66.0
"Atlanta, GA",82.0
"Washington, DC",45.0
"San Francisco, CA",66.0
"Kansas City, MO",44.0
"Kansas City, MO",73.0
"Chicago, IL",59.0
"Seattle, WA",45.0
"Los Angeles, CA",72.0
"Dallas, TX",86.0
"Atlanta, GA",98.0
"Atlanta, GA",60.0
"Los Angeles, CA",72.0
"Kansas City, MO",36.0
"Denver, CO",86.0
"Kansas City, MO",66.0
"San Francisco, CA",66.0
"Kansas City, MO",69.0
"Chicago, IL",84.0
"Atlanta, GA",46.0
"Los Angeles, CA",68.0
"Dallas, TX",81.0
"San Francisco, CA",63.0
"San Francisco, CA",66.0
"New York City, NY",93.0
"New York City, NY",81.0
"Washington, DC",93.0
"New York City, NY",68.0
"Washington, DC",47.0
"New York City, NY",58.0
"Atlanta, GA",80.0
"New York City, NY",48.0
"Chicago, IL",82.0
"Washington, DC",54.0
"Miami, FL",93.0
"Atlanta, GA",89.0
