order_id,company,account_manager,address,city,state,zip_code,cost,sales
71924c74,"Maxwell, Pace and Aguilar",Michael Scott,222 Dudley Path,New Nicole,MT,88616,87.5,131.3
71924d58,Howard-Rodriguez,Phyllis Vance,5705 Lopez Island,New Jeffreychester,MI,1620,114.4,171.6
71924dba,"Cannon, Thomas and Murphy",Dwight Schrute,1025 Barnett Landing,New Robert,KY,61456,140,210
7.19E+06,"Taylor, Moore and Jones",,055 Victoria Shoal,South Wesley,KY,73451,40,60
7.19E+52,"Hall, Merritt and Hull",Dwight Schrute,321 Makayla Pass,South Randyton,AL,97421,82,123
71924e8c,Turner LLC,Michael Scott,436 David Fort,Brownport,IL,68128,464.9,697.4
71924ed4,Wilkins and Sons,Andy Bernard,20706 Johnson Junctions Apt. 176,Shepardmouth,OR,1033,184.9,277.4
71924f10,Holt-Burke,,001 Sparks Plain,Laramouth,OR,71090,54.8,82.2
71924f4c,"Chambers, Morales and Brown",Kevin Malone,14140 Taylor Skyway,East Kimberlyville,NH,73734,171.6,257.4
71924f92,Cantrell-Nash,Phyllis Vance,4086 Smith Cove Suite 438,New Roy,MI,88880,47.5,71.3
71924fcc,Bowen-Turner,Andy Bernard,62504 Alan Locks Suite 157,Joshuaville,IN,81251,114.9,172.4
7192500a,Rivers and Sons,Michael Scott,43411 Contreras Ways,Michelleborough,ND,72532,78.4,117.6
71925046,Waters PLC,Creed Patton,11592 Williams Roads,Donnachester,ND,80900,150,224.9
71925082,"Hudson, Williams and Anthony",,5455 Joshua Prairie,Davisland,ID,32591,74.7,112.1
719250be,"Taylor, Johnson and Garcia",Andy Bernard,324 Jonathan Isle Apt. 682,West Shirley,HI,70365,53,84.5
719250fa,"Greene, Smith and Douglas",Dwight Schrute,516 Derek Land,Frenchfort,NH,35288,71.7,107.6
71925136,"Armstrong, Gibson and Marquez",Stanley Hudson,286 Angela Ridges,West Aliciamouth,NM,77224,225.7,338.6
71925174,Brown Group,Ryan Howard,36457 Lane Burgs,South Williamtown,NY,70467,60,90
