brand,product_id,product_name,department,price_category,listing_price,sale_price,discount,revenue
Adidas,G27341,Women's adidas Originals Sleek Shoes,Women,Competitve,75.99,37.99,0.5,1641.17
Adidas,CM0081,Women's adidas Swim Puka Slippers,Women,Economy,9.99,5.99,0.4,398.93
Adidas,B44832,Women's adidas Sport Inspired Questar Ride Shoes,Women,Competitve,69.99,34.99,0.5,2204.37
Adidas,D98205,Women's adidas Originals Taekwondo Shoes,Women,Competitve,79.99,39.99,0.5,5182.7
Adidas,B75586,Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,Women,Economy,47.99,19.2,0.6,1555.2
Adidas,CG4051,Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,Women,Economy,47.99,23.99,0.5,86.36
Adidas,CM0080,Women's adidas Swim Puka Slippers,Women,Economy,9.99,5.99,0.4,75.47
Adidas,B75990,WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES,Women,Competitve,55.99,27.99,0.5,806.11
Adidas,EE5761,Men's adidas Originals Forest Grove Shoes,Men,Competitve,65.99,39.59,0.4,2779.22
Adidas,EE4553,Women's adidas Originals Swift Run Shoes,Women,Competitve,75.99,45.59,0.4,2954.23
Adidas,EF9315,Women's adidas Originals Continental Vulc Shoes,Women,Competitve,65.99,39.59,0.4,2494.17
Adidas,F35281,Women's adidas Running Duramo 9 Shoes,Women,Competitve,59.99,29.99,0.5,5236.25
Adidas,EF9220,Women's adidas Originals Supercourt Shoes,Women,Competitve,75.99,45.59,0.4,5087.84
Adidas,EG0000,Men's adidas Sport Inspired Response Trail Shoes,Men,Competitve,79.99,39.99,0.5,1151.71
Adidas,B44889,Women's adidas Running Cosmic 2 Shoes,Women,Competitve,59.99,29.99,0.5,3724.76
Adidas,CL7417,Women's adidas Sport Inspired Storm Runner Shoes,Women,Economy,45.99,22.99,0.5,662.11
Adidas,CL7408,Women's adidas Sport Inspired Quickspike Shoes,Women,Economy,39.99,19.99,0.5,287.86
Adidas,B43601,WOMEN'S ADIDAS SWIM CLOUDFOAM FLIP FLOPS,Women,Economy,32.99,16.49,0.5,1840.28
Adidas,EE8245,Women's adidas Sport Inspired Lite Racer Shoes,Women,Economy,42.99,21.49,0.5,2591.69
Adidas,EE8042,Women's adidas Running Duramo 9 Shoes,Women,Competitve,55.99,27.99,0.5,1511.46
Adidas,CL7429,Women's adidas Sport Inspired Arcadeis Shoes,Women,Economy,42.99,21.49,0.5,1663.33
Adidas,CL7370,Women's adidas Sport Inspired Videll Shoes,Women,Economy,37.99,22.79,0.4,533.29
Adidas,EE9946,Women's adidas Running EnergyFalcon X Shoes,Women,Competitve,65.99,32.99,0.5,4809.94
Adidas,CK9741,Women's adidas Sport Inspired Videll Shoes,Women,Economy,37.99,18.99,0.5,2392.74
Adidas,CL7363,Women's adidas Running Hellion Z Shoes,Women,Economy,32.99,19.79,0.4,1638.61
Adidas,CL7372,Women's adidas Sport Inspired Videll Shoes,Women,Economy,37.99,22.79,0.4,2584.39
Adidas,CL7430,Women's adidas Sport Inspired Arcadeis Shoes,Women,Economy,42.99,21.49,0.5,3674.79
Adidas,F34485,Women's adidas Sport Inspired Cloudfoam Pure Shoes,Women,Competitve,55.99,33.59,0.4,906.93
Adidas,CL7365,Women's adidas Running Hellion Z Shoes,Women,Economy,32.99,19.79,0.4,1211.15
Adidas,CL7373,Women's adidas Sport Inspired Yking 2.0 Shoes,Women,Economy,32.99,19.79,0.4,3063.49
Adidas,CL7364,Women's adidas Running Hellion Z Shoes,Women,Economy,32.99,19.79,0.4,106.87
Adidas,CL7374,Women's adidas Sport Inspired Yking 2.0 Shoes,Women,Economy,32.99,19.79,0.4,2386.67
Adidas,EE8167,Women's adidas Sport Inspired RunFalcon Shoes,Women,Competitve,55.99,33.59,0.4,302.31
Adidas,CL7410,Women's adidas Sport Inspired Quickspike Shoes,Women,Economy,39.99,23.99,0.4,3670.47
Adidas,CL7401,Women's adidas Sport Inspired Blaze Runner Shoes,Women,Competitve,55.99,33.59,0.4,241.85
Adidas,EE8219,Women's adidas Sport Inspired Lite Racer CLN Shoes,Women,Economy,45.99,27.59,0.4,1738.17
Adidas,CL7402,Women's adidas Sport Inspired Blaze Runner Shoes,Women,Competitve,55.99,33.59,0.4,786.01
Adidas,EE9929,Women's adidas Nova Run X Shoes,Women,Competitve,85.99,51.59,0.4,1857.24
Adidas,EE8221,Women's adidas Sport Inspired Questar Flow Shoes,Women,Competitve,65.99,39.59,0.4,2921.74
Adidas,EE8224,Women's adidas Sport Inspired Questar Flow Shoes,Women,Competitve,65.99,39.59,0.4,5130.86
Adidas,EE9941,Women's adidas Running EnergyFalcon X Shoes,Women,Competitve,65.99,39.59,0.4,2280.38
Adidas,EE8522,Women's adidas Running Asweego Shoes,Women,Competitve,75.99,45.59,0.4,6893.21
Adidas,EE9932,Women's adidas Running Sooraj Shoes,Women,Competitve,55.99,33.59,0.4,4534.65
Adidas,EE8375,Women's adidas Sport Inspired Questar Ride Shoes,Women,Competitve,69.99,41.99,0.4,302.33
Adidas,EE9798,Men's adidas Sport Inspired Run 70s Shoes,Men,Competitve,55.99,33.59,0.4,2902.18
Adidas,EE8502,Women's adidas Running Asweerun Shoes,Women,Economy,49.99,29.99,0.4,647.78
Adidas,EF0450,Women's adidas Sport Inspired Archivo Shoes,Women,Economy,49.99,29.99,0.4,4480.51
Adidas,CL7375,Women's Sport Inspired Yking 2.0 Shoes,Women,Economy,32.99,19.79,0.4,391.84
Adidas,EF0446,Women's adidas Sport Inspired Archivo Shoes,Women,Economy,49.99,29.99,0.4,2267.24
Adidas,EF0529,Women's adidas Running Response Trail X Shoes,Women,Competitve,69.99,41.99,0.4,5215.16
Adidas,EE9940,Women's adidas Running EnergyFalcon X Shoes,Women,Competitve,65.99,39.59,0.4,2351.65
Adidas,EE4954,Women's adidas Originals Marathon Tech Shoes,Women,Competitve,119.99,71.99,0.4,4535.37
Adidas,CL4156,Men's adidas Sport Inspired Drogo Shoes,Men,Economy,26.99,13.49,0.5,2161.1
Adidas,EE4893,Women's adidas Originals Stan Smith Shoes,Women,Competitve,79.99,47.99,0.4,4059.95
Adidas,EE9937,Women's adidas Running Sooraj Shoes,Women,Competitve,55.99,33.59,0.4,5683.43
Adidas,G27649,Women's adidas Originals U_Path Run Shoes,Women,Competitve,79.99,47.99,0.4,3023.37
Adidas,EE9797,Men's adidas Sport Inspired Run 70s Shoes,Men,Competitve,55.99,33.59,0.4,2358.02
Adidas,CI9914,Men's adidas Running Nayo 1.0 shoes,Men,Economy,49.99,20.0,0.6,3528.0
Adidas,EE8252,Men's adidas Sports Inspired Lite Racer Shoes,Men,Economy,42.99,21.49,0.5,232.09
Adidas,CK9664,Men's adidas Running Nepton 2.0 Shoes,Men,Competitve,59.99,29.99,0.5,917.69
Adidas,EE8501,Women's adidas Running Aseerun Shoes,Women,Economy,49.99,29.99,0.4,4156.61
Adidas,CL7602,Men's adidas Running Torik Shoes,Men,Economy,47.99,23.99,0.5,734.09
Adidas,CL7494,Men's adidas Sport Inspired Kalus 1.0 Shoes,Men,Economy,45.99,22.99,0.5,1158.7
Adidas,EE7923,Men's adidas Running Duramo 9 Shoes,Men,Competitve,59.99,35.99,0.4,5700.82
Adidas,EE5566,Women's adidas Originals Continental 80 Shoes,Women,Competitve,79.99,47.99,0.4,1986.79
