EmployerName,Position,RegularPay,TotalWages
"University of California, Los Angeles",Postdoc-Employee,67538,67538
"University of California, Davis",Stdt 4,597,597
"University of California, San Diego",Gsr-Tuit & Fee Rem,24793,24793
"University of California, Los Angeles",Stdt 3,260,260
"University of California, San Diego",Nurse Aid Sr Pd,17474,20132
"University of California, Los Angeles",Statistician Sr,99899,100749
"University of California, Berkeley",Acad Achievement Cnslr 2,41322,43921
"University of California, San Francisco",Nurse Pd,89350,93628
"University of California, Davis",Acad Prg Mgt Ofcr 4,49735,54395
"University of California, Santa Barbara",Stdt 1,1932,1932
"University of California, Irvine",Blank Ast 2,5223,5644
"University of California, Davis",Stdt 4,5260,5260
"University of California, Davis",Stdt 3,2825,2825
"University of California, Los Angeles",Food Svc Worker,33119,35188
"University of California, San Diego",Teachg Asst-Gship,13943,13943
"University of California, Berkeley",Gsr-Full Fee Rem,32583,32583
"University of California, Los Angeles",Admin Anl Sr,53913,54183
"University of California, Davis",Resid Phys I/Non Rep,27751,31735
"University of California, Los Angeles",Events Crd 2,1527,1527
"University of California, Los Angeles",Stdt Recr 1,1311,1329
"University of California, San Francisco",Assoc Adj Prof-Hcomp,146350,179217
"University of California, Los Angeles",Admin Anl,58459,58985
"University of California, Los Angeles",Clin Spec Ex,30390,30390
"University of California, San Diego",Gsr-Tuit & Fee Rem-UCSD-Grp B,33407,33407
"University of California, Irvine",Lect-Miscellaneous/Part Time,0,800
"University of California, Los Angeles",Blank Ast 3,0,501
"University of California, Davis",Resid Phys/Subspec 4-8/Non Rep,71077,80569
"University of California, Los Angeles",Lect-Ay-1/9,3533,3533
"University of California, Los Angeles",Tut-Non Gship,1688,1688
"University of California, Davis",Ambul Care Admstn Supv 1,80797,82116
"University of California, Irvine",Gsr-No Rem,12616,12616
"University of California, Los Angeles",Pharmacist Pd,62915,68569
"University of California, San Francisco",Clin Applications Profl 4,162378,170417
"University of California, Irvine",Ethics And Cmplnc Mgr 1,144266,148070
"University of California, Los Angeles",Lect-Fy,5802,5922
"University of California, Davis",Stdt 2,25,25
"University of California, Davis",Project Policy Anl Mgr 1,127067,127381
"University of California, Santa Cruz",Stdt 4,1192,1192
"University of California, San Diego",Prof In Res-Hcomp,146450,350500
"University of California, San Francisco",Digital Comm Spec 3,90496,90496
"University of California, Los Angeles",Counsel 4,221183,221183
"University of California, San Diego",Sterile Processing Tchn 1 Pd,5352,5770
"University of California, Los Angeles",HS Asst Clin Prof-Hcomp,136882,368770
"University of California, San Diego",Prof-Ay,67725,67725
"University of California, Davis",Health Profns Educ Mgr 2,166239,193376
"University of California, Los Angeles",Stdt 1,481,481
"University of California, San Diego",Med Ctr Custodian,6450,7640
"University of California, San Diego",Assoc Prof-Ay,96983,98983
"University of California, Los Angeles",Blank Ast 2,45299,47729
"University of California, Berkeley",Lect In Summer Session,0,4860
"University of California, Berkeley",Teachg Asst-1/10-Gship,23328,23328
"University of California, San Diego",Nurse Svc Mgr 1,174294,190636
"University of California, Los Angeles",Hosp Lab Tchn 2,20025,63882
"University of California, Berkeley",Rsch And Dev Engr 3,104642,104642
"University of California, Berkeley",Gsr-Full Fee Rem,1783,1783
"University of California, Davis",Prof-Ay,156608,174819
"University of California, Berkeley",SRA 3,36737,36737
"University of California, San Diego",SRA 2 Nex,54756,54756
"University of California, Los Angeles",HS Assoc Clin Prof-Hcomp,176717,417122
"University of California, San Diego",Stdt 4,5440,5440
"University of California, Santa Cruz",Remd Tut I-Non Gship,598,598
"University of California, Santa Cruz",Stdt 4,2793,2793
"University of California, Merced",Stdt 1,651,651
"University of California, Los Angeles",Teachg Asst-Gship,10031,10031
"University of California, Santa Barbara",Stdt Volunteer,0,200
"University of California, San Diego",Resid Phys I/Rep,26910,29910
"University of California, Davis",Sra 2 Nex,31932,31954
"University of California, San Francisco",Hosp Blank Ast 2,1105,1105
"University of California, Los Angeles",Food Svc Worker,45561,48801
"University of California, Berkeley",Lect-Ay-Continuing,52178,52178
"University of California, Irvine",Stdt Researcher,2111,2944
"University of California, San Diego",Rsch Cmplnc Anl 2,66837,66837
"University of California, Berkeley",Museum Sci,159,159
"University of California, San Diego",SRA 1,43874,43874
"University of California, Los Angeles",Alumni External Rel Spec 3,55963,55963
"University of California, Santa Barbara",Fundraiser 4,101250,101250
"University of California, San Francisco",Postdoc-Employee,60005,60005
"University of California, Riverside",Applications Progr 2,65404,65653
"University of California, San Diego",SRA 4,77925,77925
"University of California, Berkeley",Lect In Summer Session,0,9206
"University of California, San Diego",Resid Phys/Subspec 4-8/Rep,77255,86647
"University of California, Los Angeles",Payroll Anl 2,60614,61114
"University of California, Santa Cruz",Accounting Mgr 1,101660,104060
"University of California, Riverside",Lect-Ay-1/9,9397,9397
"University of California, San Diego",Employment Repr 4,36777,44602
"University of California, Santa Barbara",Stdt 1,4568,4627
"University of California, San Diego",Teachg Asst-Gship,2508,2508
"University of California, San Diego",Postdoc-Fellow,9451,49006
"University of California, Berkeley",Academic Coord I-Fy,127804,127804
"University of California, San Francisco",Med Ctr Custodian Sr,49167,64385
"University of California, Berkeley",Bus Tchl Supp Anl 2 Tx,70668,70668
"University of California, San Diego",Clin Nurse 2,80821,90646
"University of California, Los Angeles",Clin Nurse 2,124623,174326
"University of California, San Francisco",Phys Ther 2 Ex,121047,122175
"University of California, Los Angeles",Prof In Res-Hcomp,172350,304112
"University of California, San Francisco",Pharmacy Tchn 2,59249,66228
"University of California, Berkeley",Stdt 3,2199,2199
"University of California, Los Angeles",Progr Anl 3,36364,36364
"University of California, Los Angeles",Stdt 3,1296,1324
"University of California, Los Angeles",Stdt 4,5881,5881
"University of California, Los Angeles",Physcn Ast,14861,20699
"University of California, Berkeley",HR Generalist 3,68980,68980
"University of California, Riverside",Stdt 1,210,210
"University of California, San Diego",Camp Cnslr L3,0,592
"University of California, San Diego",Stdt 2,2363,2382
"University of California, San Diego",Stdt Svc Advisor 2,22707,22707
"University of California, Santa Cruz",Stdt 4,10234,10360
"University of California, San Diego",Clin Nurse 2,105183,124024
"University of California, Irvine",Trainer 5,148794,148794
"University of California, San Francisco",Postdoc-Fellow,0,27205
"University of California, Irvine",Hosp Ast Sr,43490,56023
"University of California, San Diego",Clin Nurse 2,42040,47619
"University of California, Los Angeles",Progr Anl 3,72114,75494
"University of California, San Francisco",Resid Phys/Subspec 4-8/Rep,32314,40378
