actor,iron_man_2_character
Robert Downey Jr.,Tony Stark
Gwyneth Paltrow,Pepper Potts
Don Cheadle,Lt. Col. James 'Rhodey' Rhodes
Scarlett Johansson,Natalie Rushman / Natasha Romanoff
Sam Rockwell,Justin Hammer
Mickey Rourke,Ivan Vanko
Samuel L. Jackson,Nick Fury
Clark Gregg,Agent Coulson
John Slattery,Howard Stark
Garry Shandling,Senator Stern
Paul Bettany,JARVIS (voice)
Kate Mara,U.S. Marshal
Leslie Bibb,Christine Everhart
Jon Favreau,Happy Hogan
Christiane Amanpour,Christiane Amanpour
Philippe Bergeron,Detective Lemieux
James Bethea,Security Force #1
Michael Bruno,Security Force #2
Kate Clark,Expo Fan
Luminita Docan,Russian Newscaster
François Duhamel,French Photographer
Larry Ellison,Larry Ellison
DJ AM,Adam Goldstein (as Adam 'DJ AM' Goldstein)
Tim Guinee,Major Allen
Eric L. Haney,General Meade
Ali Khan,10 Rings Gangster
Evgeniy Lazarev,Anton Vanko (as Eugene Lazarev)
Stan Lee,Larry King
Isaiah Guyman Martin IV,AV Operator
Helena Mattsson,Rebecca
Keith Middlebrook,Expo Cop
Anya Monzikova,Rebeka
Margy Stein,Bambi Arbogast (as Margy Moore)
Olivia Munn,Chess Roberts
Elon Musk,Elon Musk
Bill O'Reilly,Bill O'Reilly
Alejandro Patiño,Strawberry Vendor (as Alejandro Patino)
Davin Ransom,Young Tony Stark
Karim Saleh,Guard
Brian Schaeffer,Hammer Expo Tech
Phillipe Simon,French Waiter
Jack White,Jack
Melanie Brown,Ironette Dancer
Krystal Ellsworth,Ironette Dancer
Victoria Gracie,Ironette Dancer (as Victoria Parsons)
Gina Cantrell,Ironette Dancer
Renee Herlocker,Ironette Dancer
Jill Ann Pineda-Arnold,Ironette Dancer
Sandy Colton,Ironette Dancer (as Sandra Colton)
Annika Ihnat,Ironette Dancer
Jenny Robinson,Ironette Dancer
Lindsay Dennis,Ironette Dancer
Jennifer D. Johnson,Ironette Dancer
Lindsay Rosenberg,Ironette Dancer
Hannah Douglass,Ironette Dancer
Brooke Long,Ironette Dancer
Rachele Brooke Smith,Ironette Dancer
Nadine Ellis,Ironette Dancer
Kylette Zamora,Ironette Dancer
